0	16092
0	14730
0	2102
0	21158
0	6284
0	27504
0	348
0	16702
0	20765
0	1
0	23045
0	14034
0	24422
0	9755
0	7606
0	1955
0	1275
0	1870
0	13929
0	26686
0	3453
0	2512
0	14371
0	24164
0	17044
0	13423
0	12785
0	16000
0	15096
0	22958
0	24496
1	6824
1	19278
1	16823
1	16748
1	10589
1	20157
1	17047
1	12035
1	4928
1	15246
1	10158
1	17834
1	9755
1	20725
1	3892
1	23317
1	5470
1	12602
2	11098
2	15850
2	23065
2	16965
2	8547
2	22964
2	18938
2	25809
2	15173
2	3955
2	12408
2	8691
2	8289
2	8186
2	1015
2	6303
2	17599
2	16548
2	25858
2	2440
2	27
3	9725
3	5045
3	22159
3	16556
3	6642
3	23164
3	14541
3	20229
3	4086
3	13490
3	1879
3	15246
3	19774
3	19716
3	19853
4	10038
4	18121
4	21873
4	4847
4	26446
4	12408
4	15345
4	26020
4	20627
4	2546
4	5855
4	20631
4	23814
4	26552
4	12314
4	26222
4	12940
4	5305
4	2452
4	4101
4	27587
4	19447
4	18611
4	19816
4	4787
4	11001
4	18776
4	21943
4	16132
4	9081
4	20492
4	13540
4	12690
4	9351
4	567
4	14298
4	453
4	20511
4	1486
4	2889
4	2424
4	20797
5	16674
5	13681
5	651
5	5478
5	11726
5	12212
5	5433
5	11981
5	24480
5	11199
5	20527
5	6784
5	17955
5	17192
5	7984
5	1461
5	5952
5	338
5	10958
5	940
5	8401
6	25564
6	7453
6	17965
6	8113
6	9534
6	9315
6	15633
6	12472
6	8289
6	2667
6	13366
6	10638
6	19609
6	19182
6	18012
6	17831
6	23637
6	17493
6	14040
6	18994
6	27027
6	23083
7	15623
7	15193
7	8646
7	21265
7	12567
7	5680
7	15392
7	22203
7	16813
7	10968
7	16765
7	16274
7	18796
7	5669
7	15147
8	23961
8	22798
8	24393
8	26486
8	15853
8	26377
8	13703
8	23602
8	7994
8	4577
8	8237
8	4605
8	27292
8	20219
8	184
8	21560
8	3453
8	20042
9	23148
9	18481
9	964
9	3625
9	9824
9	7190
9	8111
9	2285
9	10889
9	25948
9	5408
9	10413
9	5678
9	12274
9	5078
9	2037
9	15357
10	9667
10	5362
10	13644
10	16470
10	3819
10	19628
10	24647
10	16563
10	1572
10	19629
10	20911
10	13311
10	5818
10	121
10	17100
10	3334
10	12681
10	9196
10	3232
10	22605
10	14621
10	10698
10	2820
10	5936
10	23017
11	13462
11	26913
11	5723
11	10470
11	15437
11	24340
11	4476
11	24885
11	8260
